11.590, 0.010
16.890, 0.040
15.796, 0.022
27.995, 0.037
37.670, 0.052
40.615, 0.068
42.298, 0.081
44.317, 0.106
46.084, 0.127
47.766, 0.137
48.607, 0.161
50.290, 0.238
49.869, 0.215
49.869, 0.190
49.869, 0.175
51.131, 0.326
50.902, 0.293
50.410, 0.273
51.552, 0.388
51.552, 0.355
51.552, 0.341
52.585, 0.479
52.393, 0.454
52.393, 0.439
50.290, 0.436
52.393, 0.411
53.235, 0.554
53.235, 0.521
53.235, 0.507
54.076, 0.657
54.076, 0.632
54.076, 0.617
54.076, 0.603
53.655, 0.576
55.109, 0.735
54.617, 0.713
55.218, 0.685
54.497, 0.672
55.759, 0.823
55.759, 0.797
55.759, 0.783
55.759, 0.768
58.956, 0.910
56.600, 0.893
57.501, 0.879
58.177, 0.854
56.179, 0.838
58.759, 0.993
60.274, 0.964
57.441, 0.947
59.229, 0.934
60.339, 1.070
56.600, 1.059
60.386, 1.044
60.917, 1.017
59.739, 1.166
59.965, 1.150
59.825, 1.125
60.554, 1.100
59.825, 1.197
60.386, 1.186
65.265, 0.920
65.013, 0.904
65.434, 0.878
65.434, 0.863
65.434, 0.849
65.854, 0.823
65.854, 0.808
65.854, 0.794
65.013, 0.986
65.013, 0.970
65.013, 0.958
65.013, 0.934
68.273, 0.767
67.597, 0.751
68.168, 0.737
70.131, 0.710
69.556, 0.693
69.640, 0.679
70.832, 0.654
70.061, 0.638
70.061, 0.624
70.061, 0.598
69.640, 0.584
69.640, 0.570
69.220, 0.554
76.371, 0.805
75.650, 0.782
75.529, 0.756
75.109, 0.741
76.791, 0.837
75.529, 0.726
75.249, 0.696
74.688, 0.686
77.933, 0.864
77.212, 0.851
78.474, 0.899
79.736, 0.945
79.315, 0.921
80.577, 0.959
81.419, 0.975
81.419, 0.992
82.981, 1.005
83.837, 1.024
83.943, 1.034
87.448, 1.055
87.448, 1.065
89.271, 1.087
89.411, 1.101
89.411, 1.117
89.411, 1.131
93.828, 1.034
93.477, 1.049
94.158, 1.005
93.618, 1.061
95.300, 0.990
95.300, 0.977
94.038, 1.076
96.442, 0.953
96.773, 0.933
97.908, 0.921
98.245, 0.896
98.666, 0.881
101.610, 0.867
109.764, 0.866
111.285, 0.848
112.547, 0.824
113.388, 0.805
115.492, 0.772
115.492, 0.792
116.033, 0.756
117.174, 0.743
120.660, 0.718
119.354, 0.700
129.289, 0.734
129.373, 0.749
133.580, 0.714
134.001, 0.699
135.683, 0.685
139.693, 0.661
140.170, 0.643
146.550, 0.677
151.247, 0.699
159.100, 0.696
160.742, 0.679
162.437, 0.661
163.867, 0.637
165.129, 0.618
166.601, 0.604
170.251, 0.581
169.588, 0.562
175.365, 0.604
174.804, 0.582
178.322, 0.625
180.273, 0.650
182.376, 0.667
184.269, 0.687
187.476, 0.713
189.347, 0.731
189.301, 0.753
192.051, 0.674
192.892, 0.642
