0.101, 0.776
0.105, 0.733
0.110, 0.691
0.115, 0.643
0.135, 0.766
0.125, 0.708
0.141, 0.820
0.157, 0.868
0.162, 0.884
0.176, 0.826
0.180, 0.774
0.182, 0.733
0.185, 0.686
0.188, 0.628
0.190, 0.559
0.192, 0.502
0.194, 0.449
0.196, 0.399
0.202, 0.342
0.210, 0.251
0.203, 0.303
0.241, 0.431
0.249, 0.483
0.231, 0.341
0.235, 0.374
0.257, 0.529
0.283, 0.559
0.311, 0.565
0.339, 0.600
0.347, 0.642
0.365, 0.690
0.391, 0.715
0.418, 0.700
0.446, 0.693
0.474, 0.715
0.502, 0.730
0.531, 0.726
0.559, 0.700
0.587, 0.684
0.608, 0.651
0.620, 0.608
0.632, 0.565
0.643, 0.520
0.667, 0.510
0.697, 0.538
0.725, 0.577
0.753, 0.604
0.781, 0.614
0.809, 0.631
0.837, 0.662
0.859, 0.702
0.887, 0.730
0.915, 0.742
0.943, 0.743
0.971, 0.738
0.999, 0.732
1.027, 0.712
1.056, 0.688
1.083, 0.673
1.110, 0.660
1.140, 0.643
1.168, 0.628
1.191, 0.621
